USPS,GEOID,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,county_code,County
CA,06001432100,3770,1498,1077332,0,0.416,0,37.7358429,-122.1466229,1,Alameda
CA,06001432200,4080,1784,1023814,0,0.395,0,37.7330544,-122.1562452,1,Alameda
CA,06001432300,4656,1728,1038150,0,0.401,0,37.7308826,-122.1656193,1,Alameda
CA,06001432400,5814,1923,6437229,1351272,2.485,0.522,37.7097451,-122.1898921,1,Alameda
CA,06001432501,4839,1517,1363772,0,0.527,0,37.7167153,-122.1661575,1,Alameda
CA,06001432502,4485,1466,819968,0,0.317,0,37.7234343,-122.1734869,1,Alameda
CA,06001432600,6842,3073,1673454,0,0.646,0,37.7226922,-122.1551539,1,Alameda
CA,06001432700,2478,1080,828606,0,0.32,0,37.7270703,-122.1428437,1,Alameda
CA,06001432800,3729,1497,3661599,0,1.414,0,37.7212241,-122.1245218,1,Alameda
CA,06001433000,3832,1478,1323537,0,0.511,0,37.7158642,-122.1354706,1,Alameda
CA,06001433102,3989,1386,1433093,0,0.553,0,37.7021541,-122.1335017,1,Alameda
CA,06001433103,3530,1547,691239,0,0.267,0,37.7093273,-122.139054,1,Alameda
CA,06001433104,3760,1903,1053445,0,0.407,0,37.7142641,-122.1469937,1,Alameda
CA,06001433200,6897,2843,3174900,0,1.226,0,37.70175,-122.1470769,1,Alameda
CA,06001433300,6834,2240,2455576,0,0.948,0,37.6985801,-122.1574574,1,Alameda
CA,06001433400,6305,2333,5474772,2188973,2.114,0.845,37.684528,-122.1689582,1,Alameda
CA,06001433500,4352,1425,1234823,0,0.477,0,37.6845009,-122.1553145,1,Alameda
CA,06001433600,5978,2164,1579636,0,0.61,0,37.6860081,-122.1437942,1,Alameda
CA,06001433700,3182,1076,1316778,0,0.508,0,37.6876344,-122.1146758,1,Alameda
CA,06001433800,7369,2573,1600719,0,0.618,0,37.6988143,-122.123482,1,Alameda
CA,06001433900,6599,2352,816478,0,0.315,0,37.6992653,-122.1135398,1,Alameda
CA,06001434000,4884,1795,1205972,0,0.466,0,37.6923654,-122.1103206,1,Alameda
CA,06001435102,5179,1648,4274559,0,1.65,0,37.6552403,-122.0458797,1,Alameda
CA,06001435103,6403,2130,51492700,0,19.881,0,37.6518042,-121.9830876,1,Alameda
CA,06001435104,5216,2096,7174354,0,2.77,0,37.6385981,-122.038971,1,Alameda
CA,06001435200,4140,1429,2266078,61590,0.875,0.024,37.6874049,-122.0517821,1,Alameda
CA,06001435300,4479,1738,1288755,0,0.498,0,37.6807791,-122.064666,1,Alameda
CA,06001435400,4503,2161,1328748,0,0.513,0,37.6739266,-122.0831568,1,Alameda
CA,06001435500,3725,1515,1012329,0,0.391,0,37.6809369,-122.09333,1,Alameda
CA,06001435601,4902,1611,945541,0,0.365,0,37.6746689,-122.1022655,1,Alameda
CA,06001435602,5329,1746,1143696,0,0.442,0,37.6819278,-122.1069995,1,Alameda
CA,06001435700,4594,1527,1325907,0,0.512,0,37.6786494,-122.1160735,1,Alameda
CA,06001435800,5382,1666,1304875,0,0.504,0,37.6793691,-122.1296018,1,Alameda
CA,06001435900,5073,1696,2411345,17052,0.931,0.007,37.6724681,-122.147305,1,Alameda
CA,06001436000,4557,1474,1314438,0,0.508,0,37.6691812,-122.1375262,1,Alameda
CA,06001436100,5261,1800,1248056,0,0.482,0,37.6718054,-122.1235777,1,Alameda
CA,06001436200,3827,1287,644501,0,0.249,0,37.6685048,-122.11212,1,Alameda
CA,06001436300,7129,2290,1831138,0,0.707,0,37.666274,-122.0917198,1,Alameda
CA,06001436401,7042,3042,3116600,0,1.203,0,37.6715227,-122.0650918,1,Alameda
CA,06001436402,2618,1051,4262742,0,1.646,0,37.6668495,-122.0404785,1,Alameda
CA,06001436500,4583,1843,1915270,0,0.739,0,37.6586897,-122.0691461,1,Alameda
CA,06001436601,6091,1937,1086049,0,0.419,0,37.6567907,-122.0788937,1,Alameda
CA,06001436602,4571,1718,892655,0,0.345,0,37.65183,-122.0851818,1,Alameda
CA,06001436700,3284,1050,798266,0,0.308,0,37.6619708,-122.1005196,1,Alameda
CA,06001436800,4027,1366,1025365,0,0.396,0,37.6535732,-122.0944503,1,Alameda
CA,06001436900,6724,1926,1207024,0,0.466,0,37.6603503,-122.1097202,1,Alameda
CA,06001437000,3473,1269,1593096,0,0.615,0,37.6471694,-122.1015827,1,Alameda
CA,06001437101,6448,1880,48854999,7227925,18.863,2.791,37.6059048,-122.126873,1,Alameda
CA,06001437102,4251,1465,870006,0,0.336,0,37.6298655,-122.1002746,1,Alameda
CA,06001437200,6755,2435,2554603,0,0.986,0,37.6431726,-122.1115983,1,Alameda
CA,06001437300,3111,943,1032018,0,0.398,0,37.6362205,-122.0930122,1,Alameda
CA,06001437400,3408,954,860214,0,0.332,0,37.6428275,-122.0876478,1,Alameda
CA,06001437500,4528,1189,633478,0,0.245,0,37.644034,-122.0793899,1,Alameda
CA,06001437600,3217,940,819051,0,0.316,0,37.6353608,-122.0804835,1,Alameda
CA,06001437701,3649,1107,484105,0,0.187,0,37.6348665,-122.0697491,1,Alameda
CA,06001437702,4256,1111,371488,0,0.143,0,37.638444,-122.0734492,1,Alameda
CA,06001437800,4621,1393,1276296,0,0.493,0,37.6431464,-122.0686965,1,Alameda
CA,06001437900,2338,708,673610,0,0.26,0,37.6428259,-122.0613101,1,Alameda
CA,06001438000,3283,1124,2422520,0,0.935,0,37.619128,-122.0285144,1,Alameda
CA,06001438100,7675,2185,2007039,0,0.775,0,37.6181516,-122.038949,1,Alameda
CA,06001438201,4540,1245,990041,0,0.382,0,37.6261949,-122.0764254,1,Alameda
